"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/api/cart/add/anonymous-34355/R2D2/1",1,0,95,95,95,95,115,0.00
"GET","/api/cart/add/anonymous-34355/RD-10/1",1,0,24,24,24,24,167,0.00
"GET","/api/cart/add/anonymous-34356/HAL-1/1",1,0,37,37,37,37,168,0.00
"GET","/api/cart/add/anonymous-34356/HHGTTG/1",1,0,23,23,23,23,96,0.00
"GET","/api/cart/add/anonymous-34357/HHGTTG/1",1,0,23,23,23,23,96,0.00
"GET","/api/cart/add/anonymous-34357/STAN-1/1",1,0,450,454,454,454,177,0.00
"GET","/api/cart/add/anonymous-34358/K9/1",1,0,100,104,104,104,176,0.00
"GET","/api/cart/add/anonymous-34358/RD-10/1",1,0,23,23,23,23,115,0.00
"GET","/api/cart/add/anonymous-34359/RD-10/1",2,0,41,62,41,84,116,0.01
"GET","/api/cart/add/anonymous-34360/EVE-1/1",1,0,22,22,22,22,113,0.00
"GET","/api/cart/add/anonymous-34360/R2D2/1",1,0,23,23,23,23,180,0.00
"GET","/api/cart/add/anonymous-34361/K9/1",1,0,350,347,347,347,92,0.00
"GET","/api/cart/add/anonymous-34361/ROB-1/1",1,0,19,19,19,19,163,0.00
"GET","/api/cart/add/anonymous-34362/HAL-1/1",1,0,23,23,23,23,102,0.00
"GET","/api/cart/add/anonymous-34362/R2D2/1",1,0,75,75,75,75,179,0.00
"GET","/api/cart/add/anonymous-34363/R2D2/1",1,0,96,96,96,96,179,0.00
"GET","/api/cart/add/anonymous-34363/STAN-1/1",1,0,22,22,22,22,110,0.00
"GET","/api/cart/add/anonymous-34364/HAL-1/1",1,0,270,268,268,268,179,0.00
"GET","/api/cart/add/anonymous-34364/R2D2/1",1,0,23,23,23,23,115,0.00
"GET","/api/cart/add/anonymous-34365/HAL-1/1",1,0,270,268,268,268,168,0.00
"GET","/api/cart/add/anonymous-34365/HHGTTG/1",1,0,23,23,23,23,96,0.00
"GET","/api/cart/add/anonymous-34366/HAL-1/1",1,0,25,25,25,25,102,0.00
"GET","/api/cart/add/anonymous-34366/RD-10/1",1,0,85,85,85,85,181,0.00
"GET","/api/cart/add/anonymous-34367/HAL-1/1",1,0,24,24,24,24,102,0.00
"GET","/api/cart/add/anonymous-34367/ROB-1/1",1,0,64,64,64,64,171,0.00
"GET","/api/cart/add/anonymous-34368/K9/1",1,0,21,21,21,21,92,0.00
"GET","/api/cart/add/anonymous-34368/ROB-1/1",1,0,180,179,179,179,163,0.00
"GET","/api/cart/add/anonymous-34369/R2D2/1",1,0,78,78,78,78,184,0.00
"GET","/api/cart/add/anonymous-34369/ROB-1/1",1,0,28,28,28,28,103,0.00
"GET","/api/cart/add/anonymous-34370/EVE-1/1",2,0,20,94,20,167,114,0.01
"GET","/api/cart/add/anonymous-34371/R2D2/1",2,0,22,91,22,161,114,0.01
"GET","/api/cart/add/anonymous-34372/R2D2/1",1,0,22,22,22,22,115,0.00
"GET","/api/cart/add/anonymous-34372/ROB-1/1",1,0,96,96,96,96,184,0.00
"GET","/api/cart/add/anonymous-34373/C3P0/1",1,0,67,67,67,67,181,0.00
"GET","/api/cart/add/anonymous-34373/ROB-1/1",1,0,20,20,20,20,103,0.00
"GET","/api/cart/add/anonymous-34374/C3P0/1",1,0,140,139,139,139,164,0.00
"GET","/api/cart/add/anonymous-34374/R2D2/1",1,0,54,54,54,54,115,0.00
"GET","/api/cart/add/anonymous-34375/C3P0/1",1,0,53,53,53,53,178,0.00
"GET","/api/cart/add/anonymous-34375/HHGTTG/1",1,0,80,80,80,80,96,0.00
"GET","/api/cart/add/anonymous-34376/R2D2/1",1,0,130,128,128,128,184,0.00
"GET","/api/cart/add/anonymous-34376/ROB-1/1",1,0,43,43,43,43,103,0.00
"GET","/api/cart/add/anonymous-34377/EVE-1/1",1,0,23,23,23,23,173,0.00
"GET","/api/cart/add/anonymous-34377/K9/1",1,0,180,183,183,183,92,0.00
"GET","/api/cart/add/anonymous-34378/EVE-1/1",1,0,250,251,251,251,180,0.00
"GET","/api/cart/add/anonymous-34378/R2D2/1",1,0,170,173,173,173,115,0.00
"GET","/api/cart/add/anonymous-34379/C3P0/1",1,0,42,42,42,42,112,0.00
"GET","/api/cart/add/anonymous-34379/RD-10/1",1,0,51,51,51,51,180,0.00
"GET","/api/cart/add/anonymous-34380/C3P0/1",1,0,180,176,176,176,161,0.00
"GET","/api/cart/add/anonymous-34380/STAN-1/1",1,0,92,92,92,92,110,0.00
"GET","/api/cart/add/anonymous-34381/K9/1",1,0,91,91,91,91,175,0.00
"GET","/api/cart/add/anonymous-34381/R2D2/1",1,0,85,85,85,85,115,0.00
"GET","/api/cart/add/anonymous-34382/ROB-1/1",1,0,25,25,25,25,182,0.00
"GET","/api/cart/add/anonymous-34382/STAN-1/1",1,0,91,91,91,91,110,0.00
"GET","/api/cart/add/anonymous-34383/EVE-1/1",1,0,38,38,38,38,113,0.00
"GET","/api/cart/add/anonymous-34383/R2D2/1",1,0,69,69,69,69,180,0.00
"GET","/api/cart/add/anonymous-34384/RD-10/1",2,0,34,395,34,756,116,0.01
"GET","/api/cart/add/anonymous-34385/EVE-1/1",1,0,26,26,26,26,113,0.00
"GET","/api/cart/add/anonymous-34385/ROB-1/1",1,0,160,163,163,163,183,0.00
"GET","/api/cart/add/anonymous-34386/HHGTTG/1",1,0,160,156,156,156,181,0.00
"GET","/api/cart/add/anonymous-34386/R2D2/1",1,0,32,32,32,32,115,0.00
"GET","/api/cart/add/anonymous-34387/RD-10/1",1,0,22,22,22,22,164,0.00
"GET","/api/cart/add/anonymous-34387/STAN-1/1",1,0,28,28,28,28,110,0.00
"GET","/api/cart/add/anonymous-34388/C3P0/1",1,0,49,49,49,49,161,0.00
"GET","/api/cart/add/anonymous-34388/STAN-1/1",1,0,120,120,120,120,110,0.00
"GET","/api/cart/add/anonymous-34389/ROB-1/1",1,0,550,550,550,550,182,0.00
"GET","/api/cart/add/anonymous-34389/STAN-1/1",1,0,43,43,43,43,110,0.00
"GET","/api/cart/add/anonymous-34390/EVE-1/1",1,0,120,117,117,117,113,0.00
"GET","/api/cart/add/anonymous-34390/HAL-1/1",1,0,49,49,49,49,180,0.00
"GET","/api/cart/add/anonymous-34391/HAL-1/1",1,0,170,171,171,171,102,0.00
"GET","/api/cart/add/anonymous-34391/RD-10/1",1,0,560,555,555,555,181,0.00
"GET","/api/cart/add/anonymous-34392/K9/1",1,0,30,30,30,30,92,0.00
"GET","/api/cart/add/anonymous-34392/RD-10/1",1,0,64,64,64,64,176,0.00
"GET","/api/cart/add/anonymous-34393/HAL-1/1",1,0,550,552,552,552,179,0.00
"GET","/api/cart/add/anonymous-34393/STAN-1/1",1,0,49,49,49,49,110,0.00
"GET","/api/cart/add/anonymous-34394/HAL-1/1",1,0,86,86,86,86,179,0.00
"GET","/api/cart/add/anonymous-34394/R2D2/1",1,0,90,90,90,90,115,0.00
"GET","/api/cart/add/anonymous-34395/C3P0/1",1,0,30,30,30,30,112,0.00
"GET","/api/cart/add/anonymous-34395/HAL-1/1",1,0,64,64,64,64,178,0.00
"GET","/api/cart/add/anonymous-34396/R2D2/1",1,0,23,23,23,23,179,0.00
"GET","/api/cart/add/anonymous-34396/STAN-1/1",1,0,78,78,78,78,110,0.00
"GET","/api/cart/add/anonymous-34397/EVE-1/1",1,0,45,45,45,45,113,0.00
"GET","/api/cart/add/anonymous-34397/RD-10/1",1,0,550,552,552,552,167,0.00
"GET","/api/cart/add/anonymous-34398/K9/1",1,0,100,101,101,101,92,0.00
"GET","/api/cart/add/anonymous-34398/STAN-1/1",1,0,560,557,557,557,172,0.00
"GET","/api/cart/add/anonymous-34399/EVE-1/1",1,0,50,50,50,50,179,0.00
"GET","/api/cart/add/anonymous-34399/HHGTTG/1",1,0,25,25,25,25,96,0.00
"GET","/api/cart/add/anonymous-34400/HAL-1/1",1,0,89,89,89,89,179,0.00
"GET","/api/cart/add/anonymous-34400/STAN-1/1",1,0,100,101,101,101,110,0.00
"GET","/api/cart/add/anonymous-34401/C3P0/1",1,0,44,44,44,44,161,0.00
"GET","/api/cart/add/anonymous-34401/STAN-1/1",1,0,280,282,282,282,110,0.00
"GET","/api/cart/add/anonymous-34402/HHGTTG/1",1,0,150,149,149,149,96,0.00
"GET","/api/cart/add/anonymous-34402/STAN-1/1",1,0,89,89,89,89,177,0.00
"GET","/api/cart/add/anonymous-34403/C3P0/1",1,0,270,268,268,268,112,0.00
"GET","/api/cart/add/anonymous-34403/R2D2/1",1,0,44,44,44,44,164,0.00
"GET","/api/cart/add/anonymous-34404/C3P0/1",1,0,390,391,391,391,180,0.00
"GET","/api/cart/add/anonymous-34404/RD-10/1",1,0,110,108,108,108,115,0.00
"GET","/api/cart/add/anonymous-34405/C3P0/1",1,0,40,40,40,40,164,0.00
"GET","/api/cart/add/anonymous-34405/R2D2/1",1,0,210,212,212,212,115,0.00
"GET","/api/cart/add/anonymous-34406/R2D2/1",1,0,170,167,167,167,115,0.00
"GET","/api/cart/add/anonymous-34406/RD-10/1",1,0,23,23,23,23,167,0.00
"GET","/api/cart/add/anonymous-34407/HAL-1/1",1,0,180,180,180,180,102,0.00
"GET","/api/cart/add/anonymous-34407/HHGTTG/1",1,0,350,353,353,353,168,0.00
"GET","/api/cart/add/anonymous-34408/EVE-1/1",1,0,97,97,97,97,173,0.00
"GET","/api/cart/add/anonymous-34408/K9/1",1,0,190,193,193,193,92,0.00
"GET","/api/cart/add/anonymous-34409/ROB-1/1",2,0,90,122,90,155,103,0.01
"GET","/api/cart/add/anonymous-34410/EVE-1/1",1,0,36,36,36,36,113,0.00
"GET","/api/cart/add/anonymous-34410/STAN-1/1",1,0,360,361,361,361,178,0.00
"GET","/api/cart/add/anonymous-34411/ROB-1/1",1,0,160,157,157,157,182,0.00
"GET","/api/cart/add/anonymous-34411/STAN-1/1",1,0,160,162,162,162,110,0.00
"GET","/api/cart/add/anonymous-34412/HHGTTG/1",2,0,43,110,43,177,96,0.01
"GET","/api/cart/add/anonymous-34413/K9/1",1,0,150,147,147,147,176,0.00
"GET","/api/cart/add/anonymous-34413/RD-10/1",1,0,190,185,185,185,115,0.00
"GET","/api/cart/add/anonymous-34414/C3P0/1",1,0,47,47,47,47,112,0.00
"GET","/api/cart/add/anonymous-34414/R2D2/1",1,0,120,121,121,121,164,0.00
"GET","/api/cart/add/anonymous-34415/K9/1",1,0,81,81,81,81,163,0.00
"GET","/api/cart/add/anonymous-34415/ROB-1/1",1,0,120,124,124,124,103,0.00
"GET","/api/cart/add/anonymous-34416/K9/1",1,0,150,147,147,147,175,0.00
"GET","/api/cart/add/anonymous-34416/R2D2/1",1,0,130,131,131,131,115,0.00
"GET","/api/cart/add/anonymous-34417/C3P0/1",1,0,89,89,89,89,112,0.00
"GET","/api/cart/add/anonymous-34417/K9/1",1,0,280,281,281,281,173,0.00
"GET","/api/cart/add/anonymous-34418/STAN-1/1",2,0,73,111,73,148,111,0.01
"GET","/api/cart/add/anonymous-34419/HHGTTG/1",1,0,200,197,197,197,158,0.00
"GET","/api/cart/add/anonymous-34419/K9/1",1,0,120,117,117,117,92,0.00
"GET","/api/cart/add/anonymous-34420/HAL-1/1",1,0,99,99,99,99,102,0.00
"GET","/api/cart/add/anonymous-34420/K9/1",1,0,53,53,53,53,162,0.00
"GET","/api/cart/add/anonymous-34421/RD-10/1",2,0,39,97,39,155,116,0.01
"GET","/api/cart/add/anonymous-34422/K9/1",1,0,150,148,148,148,92,0.00
"GET","/api/cart/add/anonymous-34422/ROB-1/1",1,0,92,92,92,92,163,0.00
"GET","/api/cart/add/anonymous-34423/HHGTTG/1",1,0,50,50,50,50,177,0.00
"GET","/api/cart/add/anonymous-34423/STAN-1/1",1,0,60,60,60,60,110,0.00
"GET","/api/cart/add/anonymous-34424/R2D2/1",2,0,22,103,22,184,114,0.01
"GET","/api/cart/add/anonymous-34425/EVE-1/1",1,0,23,23,23,23,113,0.00
"GET","/api/cart/add/anonymous-34425/STAN-1/1",1,0,680,683,683,683,178,0.00
"GET","/api/cart/add/anonymous-34426/C3P0/1",1,0,680,678,678,678,164,0.00
"GET","/api/cart/add/anonymous-34426/R2D2/1",1,0,23,23,23,23,115,0.00
"GET","/api/cart/add/anonymous-34427/C3P0/1",1,0,780,779,779,779,178,0.00
"GET","/api/cart/add/anonymous-34427/HAL-1/1",1,0,23,23,23,23,102,0.00
"GET","/api/cart/add/anonymous-34428/K9/1",1,0,180,182,182,182,92,0.00
"GET","/api/cart/add/anonymous-34428/RD-10/1",1,0,77,77,77,77,176,0.00
"GET","/api/cart/add/anonymous-34429/K9/1",1,0,58,58,58,58,175,0.00
"GET","/api/cart/add/anonymous-34429/R2D2/1",1,0,22,22,22,22,115,0.00
"GET","/api/cart/add/anonymous-34430/EVE-1/1",1,0,74,74,74,74,167,0.00
"GET","/api/cart/add/anonymous-34430/RD-10/1",1,0,23,23,23,23,115,0.00
"GET","/api/cart/add/anonymous-34431/RD-10/1",1,0,760,763,763,763,184,0.00
"GET","/api/cart/add/anonymous-34431/ROB-1/1",1,0,25,25,25,25,103,0.00
"GET","/api/cart/add/anonymous-34432/HHGTTG/1",1,0,25,25,25,25,96,0.00
"GET","/api/cart/add/anonymous-34432/RD-10/1",1,0,22,22,22,22,181,0.00
"GET","/api/cart/add/anonymous-34433/HHGTTG/1",2,0,130,518,126,911,96,0.01
"GET","/api/cart/add/anonymous-34434/C3P0/1",1,0,88,88,88,88,180,0.00
"GET","/api/cart/add/anonymous-34434/RD-10/1",1,0,87,87,87,87,115,0.00
"GET","/api/cart/add/anonymous-34435/HAL-1/1",1,0,24,24,24,24,181,0.00
"GET","/api/cart/add/anonymous-34435/RD-10/1",1,0,42,42,42,42,115,0.00
"GET","/api/cart/add/anonymous-34436/R2D2/1",1,0,860,861,861,861,115,0.00
"GET","/api/cart/add/anonymous-34436/ROB-1/1",1,0,24,24,24,24,184,0.00
"GET","/api/cart/add/anonymous-34437/C3P0/1",1,0,690,693,693,693,112,0.00
"GET","/api/cart/add/anonymous-34437/HHGTTG/1",1,0,22,22,22,22,178,0.00
"GET","/api/cart/add/anonymous-34438/K9/1",1,0,530,529,529,529,176,0.00
"GET","/api/cart/add/anonymous-34438/RD-10/1",1,0,68,68,68,68,115,0.00
"GET","/api/cart/add/anonymous-34439/C3P0/1",1,0,450,449,449,449,181,0.00
"GET","/api/cart/add/anonymous-34439/ROB-1/1",1,0,62,62,62,62,103,0.00
"GET","/api/cart/add/anonymous-34440/C3P0/1",1,0,460,459,459,459,164,0.00
"GET","/api/cart/add/anonymous-34440/R2D2/1",1,0,77,77,77,77,115,0.00
"GET","/api/cart/add/anonymous-34441/RD-10/1",1,0,20,20,20,20,184,0.00
"GET","/api/cart/add/anonymous-34441/ROB-1/1",1,0,73,73,73,73,103,0.00
