"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /api/cart/add/anonymous-34360/EVE-1/1",1,22,22,22,22,22,22,22,22,22
"GET /api/cart/add/anonymous-34360/R2D2/1",1,23,23,23,23,23,23,23,23,23
"GET /api/cart/add/anonymous-34361/K9/1",1,350,350,350,350,350,350,350,350,350
"GET /api/cart/add/anonymous-34361/ROB-1/1",1,19,19,19,19,19,19,19,19,19
"GET /api/cart/add/anonymous-34362/HAL-1/1",1,23,23,23,23,23,23,23,23,23
"GET /api/cart/add/anonymous-34362/R2D2/1",1,75,75,75,75,75,75,75,75,75
"GET /api/cart/add/anonymous-34363/R2D2/1",1,96,96,96,96,96,96,96,96,96
"GET /api/cart/add/anonymous-34363/STAN-1/1",1,22,22,22,22,22,22,22,22,22
"GET /api/cart/add/anonymous-34364/HAL-1/1",1,270,270,270,270,270,270,270,270,270
"GET /api/cart/add/anonymous-34364/R2D2/1",1,23,23,23,23,23,23,23,23,23
"GET /api/cart/add/anonymous-34365/HAL-1/1",1,270,270,270,270,270,270,270,270,270
"GET /api/cart/add/anonymous-34365/HHGTTG/1",1,23,23,23,23,23,23,23,23,23
"GET /api/cart/add/anonymous-34366/HAL-1/1",1,25,25,25,25,25,25,25,25,25
"GET /api/cart/add/anonymous-34366/RD-10/1",1,85,85,85,85,85,85,85,85,85
"GET /api/cart/add/anonymous-34367/HAL-1/1",1,24,24,24,24,24,24,24,24,24
"GET /api/cart/add/anonymous-34367/ROB-1/1",1,64,64,64,64,64,64,64,64,64
"GET /api/cart/add/anonymous-34368/K9/1",1,21,21,21,21,21,21,21,21,21
"GET /api/cart/add/anonymous-34368/ROB-1/1",1,180,180,180,180,180,180,180,180,180
"GET /api/cart/add/anonymous-34369/R2D2/1",1,78,78,78,78,78,78,78,78,78
"GET /api/cart/add/anonymous-34369/ROB-1/1",1,28,28,28,28,28,28,28,28,28
"GET /api/cart/add/anonymous-34370/EVE-1/1",2,170,170,170,170,170,170,170,170,170
"GET /api/cart/add/anonymous-34371/R2D2/1",2,160,160,160,160,160,160,160,160,160
"GET /api/cart/add/anonymous-34372/R2D2/1",1,22,22,22,22,22,22,22,22,22
"GET /api/cart/add/anonymous-34372/ROB-1/1",1,96,96,96,96,96,96,96,96,96
"GET /api/cart/add/anonymous-34373/C3P0/1",1,67,67,67,67,67,67,67,67,67
"GET /api/cart/add/anonymous-34373/ROB-1/1",1,20,20,20,20,20,20,20,20,20
"GET /api/cart/add/anonymous-34374/C3P0/1",1,140,140,140,140,140,140,140,140,140
"GET /api/cart/add/anonymous-34374/R2D2/1",1,54,54,54,54,54,54,54,54,54
"GET /api/cart/add/anonymous-34375/C3P0/1",1,53,53,53,53,53,53,53,53,53
"GET /api/cart/add/anonymous-34375/HHGTTG/1",1,80,80,80,80,80,80,80,80,80
"GET /api/cart/add/anonymous-34376/R2D2/1",1,130,130,130,130,130,130,130,130,130
"GET /api/cart/add/anonymous-34376/ROB-1/1",1,43,43,43,43,43,43,43,43,43
"GET /api/cart/add/anonymous-34377/EVE-1/1",1,23,23,23,23,23,23,23,23,23
"GET /api/cart/add/anonymous-34377/K9/1",1,180,180,180,180,180,180,180,180,180
"GET /api/cart/add/anonymous-34378/EVE-1/1",1,250,250,250,250,250,250,250,250,250
"GET /api/cart/add/anonymous-34378/R2D2/1",1,170,170,170,170,170,170,170,170,170
"GET /api/cart/add/anonymous-34379/C3P0/1",1,42,42,42,42,42,42,42,42,42
"GET /api/cart/add/anonymous-34379/RD-10/1",1,51,51,51,51,51,51,51,51,51
"GET /api/cart/add/anonymous-34380/C3P0/1",1,180,180,180,180,180,180,180,180,180
"GET /api/cart/add/anonymous-34380/STAN-1/1",1,92,92,92,92,92,92,92,92,92
"GET /api/cart/add/anonymous-34381/K9/1",1,91,91,91,91,91,91,91,91,91
"GET /api/cart/add/anonymous-34381/R2D2/1",1,85,85,85,85,85,85,85,85,85
"GET /api/cart/add/anonymous-34382/ROB-1/1",1,25,25,25,25,25,25,25,25,25
